,Site ID,Node ID,Distance from Node to Ground (mm),Grafana,Site Name,Date Deployed,Project,Node Type (from Devices (Phase 2)),dist. top of cantilever to bottom of cone (mm),"Latitude, Longitude",Nearest Intersection,Site Active,data quality,2021 Plan,Partner,Contact Name,sample frequency,GPS Elevation (m),GPS Lat/ Long,County,Bridge Key,MDOT Regional Dashboard,lat,lon,geometry
0,A2DWTP,,,http://ec2-3-142-80-107.us-east-2.compute.amazonaws.com:3000/d/df7okJR4k/smart-flush?orgId=1&from=now-30d&to=now&var-site_id=SCR1,Ann Arbor Drinking Water Treatment Plant,10/7/2021,BlueSky,,,"42.29782537, -83.76131141",,Retired,,,,,,,,Washtenaw,,,42.29782537,-83.76131141,POINT (-83.76131141 42.29782537)
1,ARB001,,0.0,,Michigan Aero,6/3/2016,,,,"42.225072, -83.721289",Highland Dr/Varsity Dr,Retired,clean,,,,,,,Washtenaw,,,42.225072,-83.721289,POINT (-83.721289 42.225072)
2,ARB002,097A,1562.1,https://dash.digitalwaterlab.org:3000/d/yE7jC5z7z/ellsworth-south-inlet?orgId=1,Ellsworth South Inlet,6/3/2016,Washtenaw Co.,Depth,88.9,"42.2298997, -83.7244034",E Ellsworth Rd/Varsity Dr,Yes,clean,,Washtenaw Co.,Harry Sheehan,10.0,248.949,"42.22988526, -83.72446662",Washtenaw,,,42.2298997,-83.7244034,POINT (-83.7244034 42.2298997)
3,ARB003,094A,1905.0,https://dash.digitalwaterlab.org:3000/d/V5X9ipz7z/ellsworth-north-inlet?orgId=1,Ellsworth North Inlet ,6/3/2016,Washtenaw Co.,Depth,101.6,"42.232435, -83.723137",Phoenix Dr/Varsity Dr,Yes,clean,,Washtenaw Co.,Harry Sheehan,10.0,248.464,"42.23239007, -83.72300042",Washtenaw,,,42.232435,-83.723137,POINT (-83.723137 42.232435)
5,ARB005,,3.0,,Flagstaff Bank,6/24/2016,Washtenaw Co.,,,"42.240898,  -83.751205",,No,,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.240898,-83.751205,POINT (-83.751205 42.240898)
6,ARB006,048A,2600.0,https://dash.digitalwaterlab.org:3000/d/ARFcpqKnz/hilton-garden-inn?orgId=1,Hilton Garden Inn,6/24/2016,Washtenaw Co.,Depth,,"42.2388209, -83.7504892",S Main St/Briarwood Cir,Yes,lots of spikes,,Washtenaw Co.,Harry Sheehan,,265.421,"42.23883004, -83.75045191",Washtenaw,,,42.2388209,-83.7504892,POINT (-83.7504892 42.2388209)
7,ARB007,,0.0,,Herbarium,6/29/2016,,,,"42.236362, -83.727156",Brentwood Dr/Varsity Dr,Retired,clean,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.236362,-83.727156,POINT (-83.727156 42.236362)
8,ARB008,,0.0,,Zingermann's Roadhouse,6/29/2016,,,,"42.232204, -83.729136",Phoenix Dr/Brentwood Dr,Retired,clean,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.232204,-83.729136,POINT (-83.729136 42.232204)
9,ARB009,,2562.225,,Holiday Inn Flume,8/4/2016,Washtenaw Co.,,,"42.237482, -83.743087",Hilton Blvd/Briarwood Cir,No,data gaps,,Washtenaw Co.,Harry Sheehan,,225.098,"42.23745343, -83.74297643",Washtenaw,,,42.237482,-83.743087,POINT (-83.743087 42.237482)
10,ARB010,,,,Ellsworth Valve,9/12/2016,Washtenaw Co.,,,"42.232308, -83.72194",E Ellsworth Rd/Stone School Rd,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.232308,-83.72194,POINT (-83.72194 42.232308)
11,ARB011,,2286.0,,Kapnick Insurance Group,11/13/2016,Washtenaw Co.,,,"42.2372062, -83.7471857",S Main St/Briarwood Cir,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,229.199,"42.23719439, -83.74720440",Washtenaw,,,42.2372062,-83.7471857,POINT (-83.7471857 42.2372062)
12,ARB012,074A,6858.0,https://dash.digitalwaterlab.org:3000/d/WLIuHfBMk/north-territorial?orgId=1,North Territorial,11/17/2016,HRWC,Depth,0.0,"42.3871931, -83.9112202",North Territorial Rd/Huron River Dr,Yes,obstructed,1.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,260.360,"42.3871931, -83.9112202",Washtenaw,,,42.3871931,-83.9112202,POINT (-83.9112202 42.3871931)
13,ARB013,125A,3048.0,https://dash.digitalwaterlab.org:3000/d/wyzVsoknk/kensington-rd?orgId=1,Kensington Rd,11/17/2016,HRWC,Depth,,"42.513582, -83.690148",Kensington Rd/Grand River Ave,Yes,,2.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,268.199,"42.51365577, -83.68990820",Livingston,,,42.513582,-83.690148,POINT (-83.690148 42.513582)
14,ARB015,126A,1930.0,https://dash.digitalwaterlab.org:3000/d/9fBjHUBGz/mallets-creek-chalmers-drain?orgId=1,Chalmers Drain,6/21/2021,HRWC,Depth,94.0,"42.265596, -83.689378",E Huron River Dr/Riverside Dr,Yes,clean,5.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,230.209,"42.26526266, -83.68856830",Washtenaw,,,42.265596,-83.689378,POINT (-83.689378 42.265596)
15,ARB016,,,,County Farm Park Valve,7/11/2017,Valve,,,"42.257666, -83.704069",Washtenaw Ave/Platt Rd,No,lots of spikes,,Washtenaw Co.,,10.0,,,Washtenaw,,,42.257666,-83.704069,POINT (-83.704069 42.257666)
16,ARB017,003A,1517.65,https://dash.digitalwaterlab.org:3000/d/kdqJvUfMk/woodruff-creek-autosampler?orgId=1,Woodruff Creek Autosampler,12/2/2020,HRWC,Depth,,"42.516711, -83.709214",Grand River Ave/Delphni Dr,Yes,,6.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,264.602,,Livingston,,,42.516711,-83.709214,POINT (-83.709214 42.516711)
17,ARB018,083A,2298.7,https://dash.digitalwaterlab.org:3000/d/QYyWV3K7z/mary-beth-doyle?orgId=1,Mary Beth Doyle,11/18/2016,Washtenaw Co.,Depth,0.0,"42.242009, -83.711235",Chelsea Cir/Birch Hollow Dr,Yes,clean,,Washtenaw Co.,,,245.848,"42.24200077, -83.71122275",Washtenaw,,,42.242009,-83.711235,POINT (-83.711235 42.242009)
19,ARB021,,,,Ice Cube,8/26/2017,,,,"42.254160, -83.777093",Oak Valley Dr/Scio Church Rd,Retired,lots of spikes,,Ice Cube,Diane Wilson,,,,Washtenaw,,,42.25416,-83.777093,POINT (-83.777093 42.25416)
