Site ID,Site Name,Date Deployed,Notes,Project,Node Type (from Devices (Phase 2)),"Latitude, Longitude",Nearest Intersection,Distance from Node to Ground (mm),dist. top of cantilever to bottom of cone (mm),Grafana,GPS Elevation (m),Site Active,Device Active,data quality,maintenance needed,Maintenance Action,Google Maps Link,Partner,Contact Name,Contact Email,Site Access Permit,Permit Contact,Permit Email,Maintenance Contact,Maintenance Email,Most recent ping to grafana,360 video walkthrough (youtube),Pictures (old),estimated stream width (meters),estimated max stream depth (meters),GPS Lat/ Long,GPS Visit Completed?,Summer Legal Elevation,Winter Legal Elevation,Node Offset Base Elevation,Standard Deviation (m),Staff Gauge Offset,County,GPS Reading Method,iframe last 30 days link
ARB002,Ellsworth South Inlet,6/3/2016,,Washtenaw Co.,Depth,"42.2298997, -83.7244034",E Ellsworth Rd/Varsity Dr,1562.10,88.9,https://dash.digitalwaterlab.org:3000/d/yE7jC5z7z/ellsworth-south-inlet?orgId=1,248.949,Yes,0 checked out of 1,clean,,None,"https://www.google.com/maps/place/42%C2%B013'47.4%22N+83%C2%B043'30.7%22W/@42.229843,-83.7273947,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.229843!4d-83.725206",Washtenaw Co.,Harry Sheehan,sheehanh@washtenaw.org ,"Prviate property - General Dynamics, private property",n/a,n/a,,,12/26/2019,https://www.youtube.com/watch?v=KPYDYH1UeoM,https://drive.google.com/open?id=1edxCEYzX1kCtN6QTFGm-K3kBCPasdAdZ,2.0,0.1,"42.22988526, -83.72446662",checked,,,,0.024,,Washtenaw,Top of Node Enclosure,
ARB003,Ellsworth North Inlet ,6/3/2016,"Footpath into the woods across the street from 3840 varsity dr 
Waders required for service ",Washtenaw Co.,Depth,"42.232435, -83.723137",Phoenix Dr/Varsity Dr,1905.0,101.6,https://dash.digitalwaterlab.org:3000/d/V5X9ipz7z/ellsworth-north-inlet?orgId=1,248.464,Yes,0 checked out of 1,clean,,None,"https://www.google.com/maps/place/42%C2%B013'56.8%22N+83%C2%B043'23.3%22W/@42.232435,-83.7253257,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.232435!4d-83.723137",Washtenaw Co.,Harry Sheehan,sheehanh@washtenaw.org ,"Prviate property - General Dynamics, private property",n/a,n/a,,,12/26/2019,https://www.youtube.com/watch?v=nRShJEkbtuI,https://drive.google.com/open?id=1UIWNT1V9yn4h4OqRVD70OfLu1MO0Zpdh,6.0,0.3,"42.23239007, -83.72300042",checked,,,,0.016,,Washtenaw,Top of Strut Channel,
ARB006,Hilton Garden Inn,6/24/2016,included in OHM project,Washtenaw Co.,Depth,"42.2388209, -83.7504892",S Main St/Briarwood Cir,2600,,https://dash.digitalwaterlab.org:3000/d/ARFcpqKnz/hilton-garden-inn?orgId=1,265.421,Yes,1 checked out of 1,lots of spikes,battery dead,None,"https://www.google.com/maps/place/42%C2%B014'33.0%22N+83%C2%B045'04.7%22W/@42.242492,-83.7534877,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.242492!4d-83.751299",Washtenaw Co.,Harry Sheehan,sheehanh@washtenaw.org ,"Behind building, park in parking lot behind",n/a,n/a,,,,https://www.youtube.com/watch?v=UU5a1OfuB5g,https://drive.google.com/open?id=1Se-HCB1fL-z_vA1iVJ6JdzQjhTSDCyf3,7.0,0.4,"42.23883004, -83.75045191",checked,,,,0.012,,Washtenaw,Top of Strut Channel,
ARB012,North Territorial,11/17/2016,"HRWC ID MH01. Possible obstruction from bridge or sign, depth from node to ground much larger than 703 mm, maybe 7m ",HRWC,Depth,"42.3871931, -83.9112202",North Territorial Rd/Huron River Dr,6858,0.0,https://dash.digitalwaterlab.org:3000/d/WLIuHfBMk/north-territorial?orgId=1,260.360,Yes,0 checked out of 1,obstructed,possible obstruction,None,"https://www.google.com/maps/place/42%C2%B023'12.1%22N+83%C2%B054'39.6%22W/@42.3867,-83.9131987,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.3867!4d-83.91101",HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman","rlawson@hrwc.org, apaine@hrwc.org, rlawson@hrwc.org, apaine@hrwc.org, resselman@hwrc.org",No site access constraints outside of install permit from road commission. ,,,,,9/26/2019,https://www.youtube.com/watch?v=OLpSnFILQVI,https://drive.google.com/open?id=18AkWU3DB2bzUpnuQMd2MRkkmZ9E3QSEl,30.0,1.2,"42.3871931, -83.9112202",,,,,,,Washtenaw,Top of Strut Channel,
ARB013,Kensington Rd,11/17/2016,"HRWC ID HR03B. Located at bridge, not dam. Previously had wrong coordinates. Drive down gravel two-track road over bridge.",HRWC,Depth,"42.513582, -83.690148",Kensington Rd/Grand River Ave,3048,,https://dash.digitalwaterlab.org:3000/d/wyzVsoknk/kensington-rd?orgId=1,268.199,Yes,0 checked out of 1,,,None,"https://www.google.com/maps/place/42%C2%B030'48.9%22N+83%C2%B041'24.5%22W/@42.5138509,-83.6901051,17z/data=!4m6!3m5!1s0x0:0x0!7e2!8m2!3d42.5135818!4d-83.690148?hl=en&authuser=0",HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman","rlawson@hrwc.org, apaine@hrwc.org, rlawson@hrwc.org, apaine@hrwc.org, resselman@hwrc.org",No site access constraints outside of what would be granted with install permit from road commission. ,,,,,12/26/2019,https://www.youtube.com/watch?v=YCso-lY_GK8,https://drive.google.com/open?id=1IJXqTc4je0RvnLgxIrQJKLvU4UURDIHW,8.0,0.3,"42.51365577, -83.68990820",checked,,,,0.703,,Livingston,,
ARB015,Chalmers Drain,6/21/2021,HRWC ID MH07. Sticker is upside down. Park on the road right by the bridge ,HRWC,Depth,"42.265596, -83.689378",E Huron River Dr/Riverside Dr,1930,94.0,https://dash.digitalwaterlab.org:3000/d/9fBjHUBGz/mallets-creek-chalmers-drain?orgId=1,230.209,Yes,0 checked out of 1,clean,,None,"https://www.google.com/maps/place/42%C2%B015'56.2%22N+83%C2%B041'21.8%22W/@42.265596,-83.6915667,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.265596!4d-83.689378",HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman","rlawson@hrwc.org, apaine@hrwc.org, rlawson@hrwc.org, apaine@hrwc.org, resselman@hwrc.org","No site access constraints, in Braun Nature Area and arranged by HRWC monitoring. ",,,,,12/26/2019,https://www.youtube.com/watch?v=Uf7xHPm1yH0,,8.0,0.4,"42.26526266, -83.68856830",checked,,,,0.022,,Washtenaw,Top of Node Enclosure,
ARB017,Woodruff Creek Autosampler,12/2/2020,HRWC ID WC01. Get a permit to install it on the concrete structure nearby instead of the poll. Bridge has a very wide shoulder that’s safe to park on,HRWC,Depth,"42.516711, -83.709214",Grand River Ave/Delphni Dr,1517.65,,https://dash.digitalwaterlab.org:3000/d/kdqJvUfMk/woodruff-creek-autosampler?orgId=1,264.602,Yes,0 checked out of 1,,,None,"https://www.google.com/maps/place/42%C2%B031'00.2%22N+83%C2%B042'33.2%22W/@42.516711,-83.7114027,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.516711!4d-83.709214",HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman","rlawson@hrwc.org, apaine@hrwc.org, rlawson@hrwc.org, apaine@hrwc.org, resselman@hwrc.org","No site access constraints, arranged by HRWC monitoring",,,,,,https://www.youtube.com/watch?v=ajNUwQqQh8s,,4.0,0.4,,checked,,,,0.400,0.690,Livingston,,
ARB018,Mary Beth Doyle,11/18/2016,included in OHM project ; pin is weight bearing ,Washtenaw Co.,Depth,"42.242009, -83.711235",Chelsea Cir/Birch Hollow Dr,2298.70,0.0,https://dash.digitalwaterlab.org:3000/d/QYyWV3K7z/mary-beth-doyle?orgId=1,245.848,Yes,0 checked out of 1,clean,,None,"https://www.google.com/maps/place/42%C2%B014'28.1%22N+83%C2%B042'44.0%22W/@42.241146,-83.7144007,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.241146!4d-83.712212",Washtenaw Co.,,,No site access constraints,n/a,n/a,,,12/26/2019,https://www.youtube.com/watch?v=ACfNlczn1jY,https://drive.google.com/open?id=1Tc0FXVfZgrkzYKVjkCvptChBT0A8CtNJ,15.0,1.0,"42.24200077, -83.71122275",checked,,,,0.028,,Washtenaw,Top of Node Enclosure,
ARB025,Huron R. @ Maiden Lane,5/29/2018,HRWC ID HR04,HRWC,Depth,"42.287704, -83.73317",Maiden Ln/Island Dr,4905.50,103.2,https://dash.digitalwaterlab.org:3000/d/W-xAN8fMk/huron-r-at-maiden-lane?orgId=1,235.024,Yes,0 checked out of 1,obstructed,"battery dead,possible obstruction",None,"https://www.google.com/maps/place/42%C2%B017'15.7%22N+83%C2%B043'59.4%22W/@42.287704,-83.7353587,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.287704!4d-83.73317",HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman","rlawson@hrwc.org, apaine@hrwc.org, rlawson@hrwc.org, apaine@hrwc.org, resselman@hwrc.org",,,,,,12/26/2019,https://www.youtube.com/watch?v=qEPWGaUc18A,,,,"42.28762547, -83.73316899",checked,,,,0.010,,Washtenaw,Top of Strut Channel,
ARB026,South Commerce Lake,8/18/2018,HRWC ID HR08,HRWC,Depth,"42.5692068, -83.5041176",Benstein Rd/W Oakley Park Rd,4919.00,94.0,https://dash.digitalwaterlab.org:3000/d/MAyvWoink/south-commerce-lake?orgId=1,281.338,Yes,0 checked out of 1,some spikes,,None,"https://www.google.com/maps/place/42%C2%B034'09.1%22N+83%C2%B030'14.8%22W/@42.569189,-83.5062937,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d42.569189!4d-83.504105",HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman","rlawson@hrwc.org, apaine@hrwc.org, rlawson@hrwc.org, apaine@hrwc.org, resselman@hwrc.org",,,,,,11/6/2018,https://www.youtube.com/watch?v=cWiTaBUQFFE,https://drive.google.com/open?id=17aH9_53A2fhuXFXMDs4EJCubG2dWmzEe,9.0,0.4,"42.5692068, -83.5041176",,,,,,,Washtenaw,Top of Strut Channel,
