Unnamed: 0.1,Unnamed: 0,Site ID,Node ID,Distance from Node to Ground (mm),Grafana,Site Name,Date Deployed,Project,Node Type (from Devices (Phase 2)),dist. top of cantilever to bottom of cone (mm),"Latitude, Longitude",Nearest Intersection,Site Active,data quality,2021 Plan,Partner,Contact Name,sample frequency,GPS Elevation (m),GPS Lat/ Long,County,Bridge Key,MDOT Regional Dashboard,lat,lon,geometry,index_right,OBJECTID,Shape_Length
,19,ARB021,,,,Ice Cube,8/26/2017,,,,"42.254160, -83.777093",Oak Valley Dr/Scio Church Rd,Retired,lots of spikes,,Ice Cube,Diane Wilson,,,,Washtenaw,,,42.25416,-83.777093,POINT (-83.777093 42.25416),,,
,20,ARB022,,,,Churchill Downs South,9/15/2017,Washtenaw Co.,,,"42.2544246, -83.7741074",Wiltshire Dr/Steeplechase Dr,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.2544246,-83.7741074,POINT (-83.7741074 42.2544246),,,
,21,ARB023,,1604.9625,,Churchill Downs North ,9/15/2017,Washtenaw Co.,,,"42.255734, -83.774607",Wiltshire Dr/Steeplechase Dr,Retired,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.255734,-83.774607,POINT (-83.774607 42.255734),,,
,27,ARB030,,,,Fire Station III,2/20/2018,Rain Gardens on Clay,,,"42.281196, -83.776736",Jackson Ave/Longman Ln,Retired,data gaps,1.0,Washtenaw Co.,Catie Wytychak,,,,Washtenaw,,,42.281196,-83.776736,POINT (-83.776736 42.281196),,,
,32,ARB041,,,http://data.open-storm.org:3000/dashboard/db/arb041?orgId=6,Roger Moon's House,6/20/2018,Rain Gardens on Clay,,,"42.294255, -83.691121",Prestwick Ct/MacGregor Ln,Retired,,,Washtenaw Co.,Catie Wytychak,,,,Washtenaw,,,42.294255,-83.691121,POINT (-83.691121 42.294255),,,
,34,ARB046,,1798.64,https://dash.digitalwaterlab.org:3000/d/909qloknk/kaiser-south?orgId=1,Kaiser South,8/22/2019,Detention Basin Monitoring,,,"42.279155, -83.811493",Parkland Plaza/Eagle Pointe Dr,Retired,lots of spikes,2.0,Washtenaw Co.,Catie Wytychak,,277.705,"42.27920264, -83.81159476",Washtenaw,,,42.279155,-83.811493,POINT (-83.811493 42.279155),,,
,37,ARB049,039A,2254.25,https://dash.digitalwaterlab.org:3000/d/Vgdnt3K7k/kensington-woods?orgId=1&from=now-30d&to=now,Kensington Woods,8/10/2019,Detention Basin Monitoring,Depth,101.6,"42.2583296, -83.7830546",Kensington Blvd/Oxford Cir,Yes,obstructed,5.0,Washtenaw Co.,Catie Wytychak,,295.999,"42.25831642, -83.78303047",Washtenaw,,,42.2583296,-83.7830546,POINT (-83.7830546 42.2583296),,,
,43,ARB055,,1577.975,,Churchill,,Basin Project,,,"42.254649, -83.773293",Wiltshire Ct/Steeplechase Dr,Retired,,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.254649,-83.773293,POINT (-83.773293 42.254649),,,
,45,ARB057,,1385.82,,Ypsi Skatepark 2,11/12/2020,,,,"42.25675, -83.57257","could not find this node may 12, 2021",Retired,,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.25675,-83.57257,POINT (-83.57257 42.25675),,,
,46,ARB058,,0.0,http://ec2-13-58-76-10.us-east-2.compute.amazonaws.com:3000/d/QjB1yoznz/ypsi-skatepark-gi?orgId=1&panelId=2&fullscreen&from=1624402050235&to=1625006850236,Ypsi Skatepark GI,12/3/2021,,,,"42.2569404, -83.5735328","Willow Run, Ypsilanti Charter Twp, MI 48198",Retired,clean,,Washtenaw Co.,Harry Sheehan,10.0,,,Washtenaw,,,42.2569404,-83.5735328,POINT (-83.5735328 42.2569404),,,
,56,ARB068,,,,Smith Creek,,HRWC,,,"42.087996, -83.244023","Maguire St, Commerce Dr",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Wayne,,,42.087996,-83.244023,POINT (-83.244023 42.087996),,,
,61,ARB073,,,,South Ore Creek,,HRWC,,,"42.516711, -83.802728","Hartford Way, Barclay Dr",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Livingston,,,42.516711,-83.802728,POINT (-83.802728 42.516711),,,
,62,ARB074,,,,Portage Creek,,HRWC,,,"42.42463, -83.94499","Winterset Rd, Toma Rd",Proposed Site,,,HRWC,"Ric Lawson, Andrea Paine",,,,Livingston,,,42.42463,-83.94499,POINT (-83.94499 42.42463),,,
,69,ARB081,,,,Ypsi Skatepark GI 2,2/23/2022,Washtenaw Co.,,,"42.256750, -83.5740004",,Retired,,,Washtenaw Co.,,10.0,,,Washtenaw,,,42.25675,-83.5740004,POINT (-83.5740004 42.25675),,,
,76,ARB087,032B,641.35,https://dash.digitalwaterlab.org:3000/d/ywMHLVc4z/guardian-tree-service-gi-node?orgId=1,Guardian Tree Service,10/27/2022,Washtenaw Co.,GI,,"42.297222, -83.868611",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,867.5,"42.2973216, -83.8685802",Washtenaw,,,42.297222,-83.868611,POINT (-83.868611 42.297222),,,
,89,ARB101,001A,1930.4,https://dash.digitalwaterlab.org:3000/d/O0seXU94z/mcity-west-basin?orgId=1,MCity West Basin,6/28/2023,Valve,Depth,101.6,"42.29894718, -83.70035457",,Yes,,,,,10.0,230.354,"42.29894718, -83.70035457",Washtenaw,,,42.29894718,-83.70035457,POINT (-83.70035457 42.29894718),,,
,90,ARB102,060A,1955.8,,MCity East Basin,6/29/2023,Valve,Depth,101.6,"42.29895944, -83.70016060",,Yes,,,,,10.0,230.337,"42.29895944, -83.70016060",Washtenaw,,,42.29895944,-83.7001606,POINT (-83.7001606 42.29895944),,,
,91,ARB103,010A,1587.5,,Fleming Creek @ Ridge Creek Rd,7/20/2023,HRWC,Depth,101.6,"42.33994670, -83.66641367",,Yes,,,HRWC,,10.0,232.707,"42.33994670, -83.66641367",Washtenaw,,,42.3399467,-83.66641367,POINT (-83.66641367 42.3399467),,,
,92,ARB104,001H,,,MCity - West Basin Outlet,,Valve,Valve,,"42.298788, -83.700414",,,,,,,10.0,,,,,,42.298788,-83.700414,POINT (-83.700414 42.298788),,,
,93,ARB105,019B,825.5,https://dash.digitalwaterlab.org:3000/d/EV0mUaNSz/grace-fellowship-church-rain-garden-arb105?orgId=1,Grace Fellowship Church Rain Garden,11/21/2023,Washtenaw Co.,GI,,"42.2263063, -83.5796985",,Yes,,,Washtenaw Co.,Harry Sheehan,10.0,,,Washtenaw,,,42.2263063,-83.5796985,POINT (-83.5796985 42.2263063),,,
,94,ARB106,004H,,,MCity - East Basin Outlet,,Valve,Valve,,"42.298788, -83.700414",,,,,,,10.0,,,,,,42.298788,-83.700414,POINT (-83.700414 42.298788),,,
